soil_moisture_%,soil_pH,temperature_C,humidity_%,rainfall_mm,sunlight_hours,NDVI_index,water_stress_index,disease_pressure_score,ph_deviation,yield_per_day,days_since_sowing,pesticide_usage_ml,crop_type_enc,region_enc,irrigation_type_Drip,irrigation_type_Manual,irrigation_type_Sprinkler,fertilizer_type_Inorganic,fertilizer_type_Mixed,fertilizer_type_Organic,label,farm_id
35.95,5.99,17.79,77.03,75.62,7.27,0.63,11.394495,66.84,0.51,36.13,71,6.34,4,2,False,False,True,False,False,True,Mild,FARM0001
19.74,7.24,30.18,61.13,89.91,5.67,0.58,24.222468000000003,74.06,0.74,48.12,77,9.6,3,4,False,False,True,True,False,False,Severe,FARM0002
29.32,7.16,27.37,68.87,265.43,8.23,0.8,19.345116000000004,127.7,0.66,20.36,25,15.26,4,4,True,False,False,False,True,False,Mild,FARM0003
17.33,6.03,33.73,70.46,212.01,5.03,0.44,27.884590999999997,117.08,0.47,31.55,83,25.8,1,0,False,False,True,False,False,True,Severe,FARM0004
19.37,5.92,33.86,55.73,269.09,7.93,0.84,27.301317999999995,128.41,0.58,47.43,68,25.65,0,0,False,False,True,False,True,False,Severe,FARM0005
44.91,5.78,24.87,83.06,238.95,4.92,0.82,13.700883000000001,123.56,0.72,38.45,59,24.0,2,0,False,False,True,False,True,False,Severe,FARM0006
36.28,7.04,21.8,47.91,123.38,4.02,0.76,13.89096,72.53,0.54,31.04,129,39.29,3,2,False,True,False,False,True,False,Severe,FARM0007
27.1,5.72,22.26,80.34,296.33,5.44,0.7,16.22754,137.73,0.78,43.5,97,47.61,1,1,False,False,True,False,True,False,Mild,FARM0008
40.54,6.35,19.24,76.5,184.82,5.21,0.5,11.440103999999998,100.48,0.15,47.44,57,49.78,3,0,False,True,False,True,False,False,Mild,FARM0009
10.25,6.92,16.18,41.57,66.85,5.98,0.58,14.52155,48.82,0.42,49.93,73,35.1,2,1,False,False,True,True,False,False,Severe,FARM0010
13.39,6.36,23.47,76.45,166.76,8.04,0.55,20.327367,98.21,0.14,16.81,49,23.12,4,3,True,False,False,False,False,True,Moderate,FARM0011
40.61,5.65,31.16,44.9,263.99,7.91,0.4,18.505924,120.53,0.85,33.99,27,46.69,2,4,True,False,False,False,False,True,Severe,FARM0012
42.43,7.07,20.7,76.53,224.15,8.7,0.65,11.91699,113.38,0.57,38.92,15,13.55,1,4,False,False,True,False,False,True,Mild,FARM0013
12.8,5.87,26.9,51.76,218.8,4.72,0.42,23.456799999999998,106.52,0.63,39.91,72,31.75,3,2,False,False,True,False,True,False,Moderate,FARM0014
23.85,6.84,21.0,77.59,129.04,4.44,0.34,15.9915,85.5,0.34,23.0,33,49.93,1,3,False,False,True,False,True,False,Mild,FARM0015
15.52,7.17,29.07,89.36,202.92,7.92,0.75,24.558336,118.42,0.67,59.96,17,41.77,1,0,True,False,False,False,True,False,Mild,FARM0016
31.17,6.94,19.07,53.2,208.56,6.93,0.74,13.125881,98.15,0.44,37.05,16,33.54,1,0,True,False,False,False,False,True,Severe,FARM0017
13.92,7.39,28.82,41.8,87.26,6.22,0.45,24.808256,64.51,0.89,39.0,10,10.74,4,1,False,False,True,True,False,False,Severe,FARM0018
40.94,6.31,27.41,86.49,88.64,9.19,0.36,16.188346000000003,81.75,0.19,40.88,63,6.12,3,0,False,False,True,True,False,False,Severe,FARM0019
16.99,7.34,21.99,83.57,255.13,5.34,0.62,18.253899,126.46,0.84,31.82,65,19.77,2,4,False,False,True,True,False,False,Severe,FARM0020
16.25,7.43,20.31,61.73,77.1,8.37,0.3,17.009625,63.05,0.93,49.11,24,32.28,1,2,False,True,False,True,False,False,Mild,FARM0021
12.45,6.83,21.6,82.4,128.48,8.32,0.86,18.910800000000002,87.7,0.33,41.64,70,18.92,0,0,False,True,False,False,True,False,Mild,FARM0022
20.53,6.6,15.01,61.49,121.73,7.48,0.7,11.928446999999998,72.37,0.1,31.91,115,24.88,3,1,False,True,False,True,False,False,Moderate,FARM0023
21.73,7.14,30.02,51.23,218.2,5.19,0.42,23.496654,108.47,0.64,35.24,116,16.02,3,1,True,False,False,False,False,True,Severe,FARM0024
18.54,6.81,15.11,78.5,237.74,4.64,0.38,12.308606,114.05,0.31,18.49,31,12.91,0,4,False,False,True,False,False,True,Severe,FARM0025
30.84,7.4,32.83,75.96,203.16,7.03,0.59,22.705227999999998,115.95,0.9,47.24,81,38.46,3,1,False,False,True,False,False,True,Mild,FARM0026
12.71,6.07,20.43,67.01,129.93,4.83,0.42,17.833347,81.11,0.43,38.93,42,36.23,0,0,False,False,True,True,False,False,Severe,FARM0027
43.11,5.54,32.61,63.85,193.92,9.66,0.59,18.551829,108.17,0.96,36.05,56,43.41,3,4,False,True,False,True,False,False,Severe,FARM0028
35.35,7.18,33.39,66.71,295.18,9.44,0.5,21.586635,140.28,0.68,22.92,33,33.92,0,0,True,False,False,False,False,True,Severe,FARM0029
18.83,5.66,15.39,90.0,184.85,6.1,0.7,12.492063,103.0,0.84,52.52,79,6.81,0,0,True,False,False,False,True,False,Mild,FARM0030
36.84,5.84,27.14,45.73,236.98,8.92,0.35,17.141624,109.74,0.66,42.35,96,31.04,1,4,False,True,False,False,False,True,Mild,FARM0031
39.76,6.7,17.42,79.13,295.96,6.08,0.88,10.493808000000001,133.5,0.2,18.47,53,21.68,1,2,False,False,True,False,True,False,Severe,FARM0032
16.16,6.54,28.01,85.98,203.98,8.65,0.57,23.483584,116.59,0.04,49.15,106,42.16,0,3,False,False,True,True,False,False,Severe,FARM0033
33.39,6.17,24.89,64.38,131.25,6.13,0.44,16.579229,83.79,0.33,21.27,2,17.58,3,1,False,True,False,True,False,False,Severe,FARM0034
36.54,6.88,27.92,79.65,172.71,4.56,0.5,17.718032,104.61,0.38,27.37,88,36.13,3,4,False,False,True,True,False,False,Severe,FARM0035
